FIRMSIZE,Industry,Employment in March,Employment in February,Percent change between February and March,percentile
0-19 Employees,NA,68877,62395,0.0941097899153564,0.824335651479186
0-19 Employees,Forestry and logging and support activities for forestry,10254,9742,0.04993173395748,0.620543440445095
0-19 Employees,"Fishing, hunting and trapping",3492,2217,0.365120274914089,0.816146599900861
0-19 Employees,"Mining, quarrying, and oil and gas extraction",11476,15372,-0.339491111885674,0.994900634292866
0-19 Employees,Utilities,3450,5161,-0.495942028985507,0.962195330446042
0-19 Employees,Construction,359447,373244,-0.0383839620305636,0.745117618406383
0-19 Employees,Manufacturing - durable goods,94308,92280,0.0215040081435297,0.659061880519292
0-19 Employees,Manufacturing - non-durable goods,79291,89622,-0.130292214753251,0.957923419635673
0-19 Employees,Wholesale trade,96189,95547,0.00667435985403736,0.590354050509275
0-19 Employees,Retail trade,255846,306696,-0.19875237447527,0.99999980569037
0-19 Employees,Transportation and warehousing,82991,90965,-0.0960827077634924,0.9526071837451
0-19 Employees,Finance and insurance,32433,36995,-0.140659205130577,0.945325936844318
0-19 Employees,Real estate and rental and leasing,54090,54663,-0.0105934553521908,0.579682891440548
0-19 Employees,"Professional, scientific and technical services",273472,271612,0.00680142756845308,0.501701925049441
0-19 Employees,"Business, building and other support services",109523,111398,-0.0171196917542434,0.605385855640992
0-19 Employees,Educational services,58359,72571,-0.243527133775425,0.990690454260428
0-19 Employees,Health care and social assistance,324480,394194,-0.214848372781065,0.999999999922896
0-19 Employees,"Information, culture and recreation",72422,99499,-0.373878103338764,0.999839272613222
0-19 Employees,Accommodation and food services,167810,250791,-0.494493772719147,1
0-19 Employees,Other services (except public administration),282430,307556,-0.0889636370074001,0.998895249287032
0-19 Employees,Public administration,25816,26925,-0.0429578555934304,0.675099152236039
20-99 Employees,NA,26000,24688,0.0504615384615385,0.636203627778334
20-99 Employees,Forestry and logging and support activities for forestry,9892,9824,0.0068742418115649,0.565558283129836
20-99 Employees,"Fishing, hunting and trapping",658,499,0.241641337386018,0.638864641729645
20-99 Employees,"Mining, quarrying, and oil and gas extraction",28133,28934,-0.0284719013258451,0.591353690531166
20-99 Employees,Utilities,6474,6051,0.0653382761816497,0.676817150882873
20-99 Employees,Construction,267446,268764,-0.0049280976346627,0.490406719905998
20-99 Employees,Manufacturing - durable goods,206885,206133,0.00363486961355342,0.538263218413954
20-99 Employees,Manufacturing - non-durable goods,131252,139688,-0.0642733063115229,0.876048678869471
20-99 Employees,Wholesale trade,137720,129778,0.057667731629393,0.810547209206244
20-99 Employees,Retail trade,268732,304264,-0.132220948751916,0.999962472870079
20-99 Employees,Transportation and warehousing,126485,133433,-0.0549314147922679,0.759367555717197
20-99 Employees,Finance and insurance,49501,50762,-0.0254742328437809,0.65587524154586
20-99 Employees,Real estate and rental and leasing,34773,38887,-0.118310183188106,0.84320586291056
20-99 Employees,"Professional, scientific and technical services",238935,260938,-0.0920878063071547,0.955408296604652
20-99 Employees,"Business, building and other support services",106641,109111,-0.0231618233137349,0.615548753875299
20-99 Employees,Educational services,99359,117324,-0.180808985597681,0.966573678641587
20-99 Employees,Health care and social assistance,317350,329631,-0.0386985977627225,0.848938068862158
20-99 Employees,"Information, culture and recreation",84075,121797,-0.448670829616414,0.999991696151086
20-99 Employees,Accommodation and food services,148387,223322,-0.504997068476349,1
20-99 Employees,Other services (except public administration),115251,122226,-0.0605200822552516,0.832404265642409
20-99 Employees,Public administration,47858,53836,-0.124911195620377,0.986457528572304
100-499 Employees,NA,15119,15428,-0.020437859646802,0.552228202123709
100-499 Employees,Forestry and logging and support activities for forestry,2669,3403,-0.275009366804046,0.928558684523793
100-499 Employees,"Fishing, hunting and trapping",701,536,0.235378031383738,0.781686999400846
100-499 Employees,"Mining, quarrying, and oil and gas extraction",38402,35288,0.0810895265871569,0.835742594068554
100-499 Employees,Utilities,14165,16266,-0.148323332156724,0.801400890188788
100-499 Employees,Construction,170806,170250,0.00325515497113685,0.51337344143318
100-499 Employees,Manufacturing - durable goods,159900,169848,-0.0622138836772983,0.909984377091663
100-499 Employees,Manufacturing - non-durable goods,159281,156813,0.0154946289890194,0.625074873107527
100-499 Employees,Wholesale trade,114179,112213,0.0172185778470647,0.621998735568009
100-499 Employees,Retail trade,207652,233766,-0.125758480534741,0.999677763961242
100-499 Employees,Transportation and warehousing,126564,135996,-0.0745235612022376,0.822590523005781
100-499 Employees,Finance and insurance,83327,78482,0.0581444189758422,0.844459669365864
100-499 Employees,Real estate and rental and leasing,37811,33822,0.105498399936526,0.817947505070882
100-499 Employees,"Professional, scientific and technical services",181033,186816,-0.031944452116465,0.773271979119364
100-499 Employees,"Business, building and other support services",78065,90719,-0.162095689489528,0.990923275104508
100-499 Employees,Educational services,142453,157967,-0.108906095343727,0.83703600187702
100-499 Employees,Health care and social assistance,319125,326862,-0.0242444183313749,0.7463080104131
100-499 Employees,"Information, culture and recreation",87804,106952,-0.218076625210697,0.988999853636274
100-499 Employees,Accommodation and food services,100657,123196,-0.223918853134904,0.998464468911049
100-499 Employees,Other services (except public administration),71975,73319,-0.0186731503994443,0.57283808410163
100-499 Employees,Public administration,124018,118996,0.040494121821026,0.78623682403457
500+ Employees,NA,11232,17811,-0.58573717948718,0.999950568797768
500+ Employees,Forestry and logging and support activities for forestry,8886,9827,-0.105896916497862,0.803532882299784
500+ Employees,"Fishing, hunting and trapping",687,249,0.637554585152838,0.755862865994993
500+ Employees,"Mining, quarrying, and oil and gas extraction",159881,156991,0.0180759439833376,0.718927296284563
500+ Employees,Utilities,105865,109004,-0.0296509705757332,0.814026460790477
500+ Employees,Construction,199891,189596,0.0515030691726991,0.86752423844008
500+ Employees,Manufacturing - durable goods,397800,408689,-0.0273730517848165,0.783183590923706
500+ Employees,Manufacturing - non-durable goods,364178,367460,-0.00901207651203532,0.597593771018427
500+ Employees,Wholesale trade,201952,203763,-0.00896747742037712,0.638001639824919
500+ Employees,Retail trade,1117963,1207881,-0.080430211017717,0.999669325935113
500+ Employees,Transportation and warehousing,448396,467324,-0.042212686999884,0.92836495131868
500+ Employees,Finance and insurance,633892,637596,-0.00584326667634234,0.49326366216059
500+ Employees,Real estate and rental and leasing,65260,71867,-0.101241189089795,0.89263412154357
500+ Employees,"Professional, scientific and technical services",394721,378910,0.0400561409197889,0.894500302887083
500+ Employees,"Business, building and other support services",214416,230147,-0.0733667263637042,0.922818826557092
500+ Employees,Educational services,937755,1033024,-0.101592633470363,0.861112338210745
500+ Employees,Health care and social assistance,1090725,1121934,-0.0286130784569896,0.97879952323143
500+ Employees,"Information, culture and recreation",263366,280812,-0.0662424154978243,0.929704754042742
500+ Employees,Accommodation and food services,390436,488399,-0.250906678687416,0.999999999999999
500+ Employees,Other services (except public administration),75820,78100,-0.0300712213136376,0.649182515561414
500+ Employees,Public administration,790062,795996,-0.00751080294964193,0.593626721351444